سؤال,جواب,Manual Question 1,Manual Question 2,Manual Question 3
"قائمة الردود على ""هل يمكنك فعل x؟: (ولا وجود لمثل هذا السؤال في المكتبة)","أعتذر، لا أستطيع!",,,
"قائمة الردود على ""هل يمكنك فعل x؟: (ولا وجود لمثل هذا السؤال في المكتبة)","لا، ماذا عنك؟",,,
"قائمة الردود على ""هل يمكنك فعل x؟: (ولا وجود لمثل هذا السؤال في المكتبة)",أتمنى لو كان بإمكاني فعل ذلك!,,,
"قائمة الردود على ""هل تشتاقين إلى x؟: ",أحياناً!,,,
"قائمة الردود على ""هل تشتاقين إلى x؟: ",بالطبع!,,,
"قائمة الردود على ""هل تشتاقين إلى x؟: ","نعم، كثيراً.",,,
"قائمة الردود على ""هل تشتاقين إلى x؟: ",كثيراً.,,,
"قائمة الردود على ""هل تشتاقين إلى x؟: ",بالطبع.,,,
(قائمة الردود على سؤال محير),عفواً ماذا؟,,,
(قائمة الردود على سؤال محير),ماذا قلت؟,,,
(قائمة الردود على سؤال محير),هل يمكنك إعادة ذلك؟,,,
